PAFS_LRMA_NAME,POL_LRMA_NAME
Needham and Laddus IDB,Needham and Ladus Internal Drainage Board
Nightlayers IDB,Nightlayers Internal Drainage Board
Nordelph IDB,Nordelph Internal Drainage Board
Norfolk Rivers IDB,Norfolk Rivers Internal Drainage Board
North East Lindsey IDB,North East Lindsey Drainage Board
North Level District (2010) IDB,North Level District Internal Drainage Board
North Somerset Levels IDB,North Somerset Levels Internal Drainage Board
Northwold IDB,Northwold Internal Drainage Board
Old West IDB,Old West Internal Drainage Board
Ouse and Derwent IDB,Ouse and Derwent Internal Drainage Board
Over and Willingham IDB,Over and Willingham Internal Drainage Board
Padnal and Waterden IDB,Padnal and Waterden Internal Drainage Board
Parrett IDB,Parrett Internal Drainage Board
Pevensey and Cuckmere Water Level Management Board,Pevensey and Cuckmere Water Level Management District and Board
Ramsey First (Hollow) District IDB,Ramsey First (Hollow) Internal Drainage Board
Ramsey Fourth (Middlemoor) District IDB,Ramsey Fourth (Middlemoor) Internal Drainage Board
Ramsey IDB,Ramsey Internal Drainage Board
Ramsey Upwood and Great Raveley IDB,Ramsey Upwood and Great Raveley Internal Drainage Board
Rawcliffe IDB,Rawcliffe Internal Drainage Board
Rea IDB,Rea Internal Drainage Board
River Lugg IDB,River Lugg Internal Drainage Board
River Stour (Kent) IDB,River Stour (Kent) Internal Drainage Board
Romney Marshes Area IDB,Romney Marshes Area Internal Drainage Board
Sawtry IDB,Sawtry Internal Drainage Board
Selby Area IDB,Selby Area Internal Drainage Board
South Holderness IDB,South Holderness Internal Drainage Board
South Holland IDB,South Holland Internal Drainage Board
Southery and District IDB,Southery and District Internal Drainage Board
Sow and Penk IDB,Sow and Penk Internal Drainage Board
Stoke Ferry IDB,Stoke Ferry Internal Drainage Board
Strine IDB,Strine Internal Drainage Board
Stringside IDB,Stringside Internal Drainage Board
Sutton and Mepal IDB,Sutton and Mepal Internal Drainage Board
Swaffham IDB,Swaffham Internal Drainage Board
Swale and Ure Drainage Board,Swale and Ure Internal Drainage Board
Swavesey IDB,Swavesey Internal Drainage Board
Thorntree IDB,Thorntree Internal Drainage Board
Trent Valley IDB,Trent Valley Internal Drainage Board
Upper Witham IDB,Upper Witham Internal Drainage Board
Upwell IDB,Upwell Internal Drainage Board
Vale of Pickering IDB,Vale of Pickering Internal Drainage Board
Waldersey IDB,Waldersey Internal Drainage Board
Warboys Somersham and Pidley IDB,Warboys Somersham and Pidley Internal Drainage Board
Waterbeach Level IDB,Waterbeach Internal Drainage Board
Waveney Lower Yare and Lothingland IDB,Wavenery Lower Yare and Lothingland Internal Drainage Board
Welland and Deepings IDB,Welland and Deepings Internal Drainage Board
Whittlesey and District IDB,Whittlesey and District Internal Drainage Board
Witham First District IDB,Witham First District Internal Drainage Board
Witham Fourth District IDB,Witham Fourth District Internal Drainage Board
Witham Third District IDB,Witham Third District
Woodwalton Drainage Commissioners,Woodwalton Internal Drainage Board
March and Whittlesey IDB,March west and White Fen Internal Drainage Board
Pevensey Levels IDB,Pevensey and Cuckmere Water Level Management District and Board
Reedness and Swinefleet Drainage Commissioners,Reedness and Swinefleet Drainage Board
Adur District Council,Adur District Council
Airedale Drainage Commissioners,Airedale Drainage Commissioners
Amber Valley Borough Council,Amber Valley Borough Council
Anglian Water,Anglian Water
Arun District Council,Arun District Council
Ashfield District Council,Ashfield District Council
Ashford Borough Council,Ashford Borough Council
Aylesbury Vale District Council,Aylesbury Vale District Council
Babergh District Council,Babergh District Council
Basildon Borough Council,Basildon Borough Council
Basingstoke and Deane Borough Council,Basingstoke and Deane Borough Council
Bassetlaw District Council,Bassetlaw District Council
Bath and North East Somerset Council,Bath and North East Somerset Council
Bedford Borough Council,Bedford Borough Council
Birmingham City Council,Birmingham City Council
Blaby District Council,Blaby District Council
Blackburn with Darwen Borough Council,Blackburn with Darwen Borough Council
Bolsover District Council,Bolsover District Council
Boston Borough Council,Boston Borough Council
Braintree District Council,Braintree District Council
Breckland District Council,Breckland District Council
Brentwood Borough Council,Brentwood Borough Council
Brighton and Hove City Council,Brighton and Hove City Council
Bristol City Council,Bristol City Council
Broadland District Council,Broadland District Council
Bromsgrove District Council,Bromsgrove District Council
Broxbourne Borough Council,Broxbourne Borough Council
Broxtowe Borough Council,Broxtowe Borough Council
Buckinghamshire County Council,Buckinghamshire County Council
Burnley Borough Council,Burnley Borough Council
Cambridge City Council,Cambridge City Council
Cambridgeshire County Council,Cambridgeshire County Council
Cannock Chase District Council,Cannock Chase District Council
Canterbury City Council,Canterbury City Council
Carlisle City Council,Carlisle City Council
Central Bedfordshire Council,Central Bedfordshire Council
Charnwood Borough Council,Charnwood Borough Council
Chelmsford City Council,Chelmsford City Council
Cheltenham Borough Council,Cheltenham Borough Council
Cherwell District Council,Cherwell District Council
Cheshire East Council,Cheshire East Council
Cheshire West and Chester Council,Cheshire West and Chester Council
Chesterfield Borough Council,Chesterfield Borough Council
Chichester District Council,Chichester District Council
Chiltern District Council,Chiltern District Council
Chorley Borough Council,Chorley Borough Council
City of York Council,City of York Council
Colchester Borough Council,Colchester Borough Council
Copeland Borough Council,Copeland Borough Council
Corby Borough Council,Corby Borough Council
Cornwall Council,Cornwall Council
Cotswold District Council,Cotswold District Council
Council of the Isles of Scilly,Council of the Isles of Scilly
Coventry City Council,Coventry City Council
Craven District Council,Craven District Council
Crawley Borough Council,Crawley Borough Council
Cumbria County Council,Cumbria County Council
Dacorum Borough Council,Dacorum Borough Council
Danvm Drainage Commissioners,Danvm Drainage Commissioners
Darlington Borough Council,Darlington Borough Council
Dartford Borough Council,Dartford Borough Council
Daventry District Council,Daventry District Council
Derby City Council,Derby City Council
Derbyshire County Council,Derbyshire County Council
Derbyshire Dales District Council,Derbyshire Dales District Council
Devon County Council,Devon County Council
Dover District Council,Dover District Council
Durham County Council,Durham County Council
East Cambridgeshire District Council,East Cambridgeshire District Council
East Devon District Council,East Devon District Council
East Hampshire District Council,East Hampshire District Council
East Hertfordshire District Council,East Hertfordshire District Council
East Lindsey District Council,East Lindsey District Council
East Riding of Yorkshire Council,East Riding of Yorkshire Council
East Staffordshire Borough Council,East Staffordshire Borough Council
East Suffolk Council,East Suffolk Council
East Sussex County Council,East Sussex County Council
Eastbourne Borough Council,Eastbourne Borough Council
Eastleigh Borough Council,Eastleigh Borough Council
Eden District Council,Eden District Council
Elmbridge Borough Council,Elmbridge Borough Council
Epping Forest District Council,Epping Forest District Council
Epsom and Ewell Borough Council,Epsom and Ewell Borough Council
Erewash Borough Council,Erewash Borough Council
Essex County Council,Essex County Council
Exeter City Council,Exeter City Council
Fareham Borough Council,Fareham Borough Council
Fenland District Council,Fenland District Council
Forest of Dean District Council,Forest of Dean District Council
Fylde Borough Council,Fylde Borough Council
Gedling Borough Council,Gedling Borough Council
Gloucester City Council,Gloucester City Council
Gloucestershire County Council,Gloucestershire County Council
Gosport Borough Council,Gosport Borough Council
Gravesham Borough Council,Gravesham Borough Council
Great Yarmouth Borough Council,Great Yarmouth Borough Council
Guildford Borough Council,Guildford Borough Council
Halton Borough Council,Halton Borough Council
Hambleton District Council,Hambleton District Council
Hampshire County Council,Hampshire County Council
Harborough District Council,Harborough District Council
Harlow District Council,Harlow District Council
Harrogate Borough Council,Harrogate Borough Council
Hart District Council,Hart District Council
Hartlepool Borough Council,Hartlepool Borough Council
Hastings Borough Council,Hastings Borough Council
Havant Borough Council,Havant Borough Council
Herefordshire Council,Herefordshire Council
Hertfordshire County Council,Hertfordshire County Council
Hertsmere Borough Council,Hertsmere Borough Council
