National project number,LRMA Name,NEW LRMA Name
NWC501E/000A/507A,Cumbria County Council,Cumberland Council
NWC501E/000A/509A,Cumbria County Council,Cumberland Council
NWC501E/000A/510A,Cumbria County Council,Cumberland Council
NWC501E/000A/520A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/523A,Cumbria County Council,Cumberland Council
NWC501E/000A/526A,Cumbria County Council,Cumberland Council
NWC501E/000A/528A,Cumbria County Council,Cumberland Council
NWC501E/000A/531A,Cumbria County Council,Cumberland Council
NWC501E/000A/535A,Cumbria County Council,Cumberland Council
NWC501E/000A/537A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/539A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/542A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/543A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/545A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/546A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/547A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/548A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/550A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/557A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/558A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/559A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/561A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/563A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/592A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/594A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/596A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/597A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/598A,Cumbria County Council,Cumberland Council
NWC501E/000A/600A,Cumbria County Council,Cumberland Council
NWC501E/000A/603A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/604A,Cumbria County Council,Cumberland Council
NWC501E/000A/615A,Cumbria County Council,Cumberland Council
NWC501E/000A/637A,Cumbria County Council,Cumberland Council
NWC501E/000A/638A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/511A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/512A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/513A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/514A,South Lakeland District Council,Westmorland and Furness Council
